goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/golib-policy-16                     10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/raw-franz-go-16                     10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/sarama-16                           10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/golib-policy-16                      100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/raw-franz-go-16                      100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/sarama-16                            100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/golib-policy-16                    100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/raw-franz-go-16                    100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/sarama-16                          100.0 ± 0%
geomean                                                                                               31.62

                                                                                   │ raw-producer-batch.next.txt │
                                                                                   │            B/op             │
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16                       10.51Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16                       6.156Ki ±  1%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16                             12.82Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16                     10.55Ki ±  5%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16                     6.190Ki ±  7%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16                           13.34Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16                      71.66Ki ±  3%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/raw-franz-go-16                      30.05Ki ±  6%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/sarama-16                            82.10Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/golib-policy-16                    76.21Ki ±  3%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/raw-franz-go-16                    31.32Ki ±  9%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/sarama-16                          84.96Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/golib-policy-16                      20.79Ki ±  4%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/raw-franz-go-16                      7.636Ki ± 11%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/sarama-16                            30.95Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/golib-policy-16                    21.74Ki ±  4%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/raw-franz-go-16                    8.273Ki ±  8%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/sarama-16                          32.88Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/golib-policy-16                     349.1Ki ± 14%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/raw-franz-go-16                     63.35Ki ± 32%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/sarama-16                           259.0Ki ±  0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/golib-policy-16                   409.8Ki ± 13%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/raw-franz-go-16                   117.7Ki ± 20%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/sarama-16                         218.9Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/golib-policy-16                     10.26Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/raw-franz-go-16                     6.025Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/sarama-16                           12.21Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/golib-policy-16                   10.44Ki ±  2%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/raw-franz-go-16                   6.061Ki ±  5%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/sarama-16                         12.86Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/golib-policy-16                    69.22Ki ±  4%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/raw-franz-go-16                    26.38Ki ±  7%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/sarama-16                          75.76Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/golib-policy-16                  71.24Ki ±  4%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/raw-franz-go-16                  30.83Ki ±  8%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/sarama-16                        78.70Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/golib-policy-16                    20.63Ki ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/raw-franz-go-16                    7.618Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/sarama-16                          30.72Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/golib-policy-16                  21.47Ki ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/raw-franz-go-16                  8.545Ki ± 16%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/sarama-16                        32.65Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/golib-policy-16                   357.8Ki ±  8%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/raw-franz-go-16                   103.6Ki ± 49%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/sarama-16                         256.8Ki ±  0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/golib-policy-16                 389.8Ki ±  9%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/raw-franz-go-16                 156.3Ki ± 30%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/sarama-16                       213.7Ki ±  0%
geomean                                                                                            37.19Ki

                                                                                   │ raw-producer-batch.next.txt │
                                                                                   │          allocs/op          │
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16                          101.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16                          68.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16                                158.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16                        101.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16                        68.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16                              163.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16                         375.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/raw-franz-go-16                         159.0 ± 1%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/sarama-16                               707.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/golib-policy-16                       375.5 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/raw-franz-go-16                       159.0 ± 1%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/sarama-16                             712.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/golib-policy-16                         101.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/raw-franz-go-16                         68.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/sarama-16                               158.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/golib-policy-16                       101.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/raw-franz-go-16                       68.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/sarama-16                             163.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/golib-policy-16                        380.0 ± 1%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/raw-franz-go-16                        159.0 ± 1%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/sarama-16                              710.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/golib-policy-16                      382.5 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/raw-franz-go-16                      161.0 ± 1%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/sarama-16                            718.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/golib-policy-16                        91.00 ± 0%
