benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    317023 ns/op	   4.45 MB/s	        10.00 records/op	    6241 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    311512 ns/op	   4.53 MB/s	        10.00 records/op	    6262 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    288712 ns/op	   4.88 MB/s	        10.00 records/op	    6836 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    304632 ns/op	   4.63 MB/s	        10.00 records/op	    6273 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    302328 ns/op	   4.66 MB/s	        10.00 records/op	    6837 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    457773 ns/op	   3.08 MB/s	        10.00 records/op	    6339 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    281142 ns/op	   5.02 MB/s	        10.00 records/op	    6360 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    305570 ns/op	   4.61 MB/s	        10.00 records/op	    6267 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    294736 ns/op	   4.78 MB/s	        10.00 records/op	    6250 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    280178 ns/op	   5.03 MB/s	        10.00 records/op	    6834 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    293715 ns/op	   4.80 MB/s	        10.00 records/op	    6339 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    278842 ns/op	   5.06 MB/s	        10.00 records/op	    6339 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6149692 ns/op	   0.23 MB/s	        10.00 records/op	   13666 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6563000 ns/op	   0.21 MB/s	        10.00 records/op	   13653 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6784488 ns/op	   0.21 MB/s	        10.00 records/op	   13672 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6283292 ns/op	   0.22 MB/s	        10.00 records/op	   13671 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6147742 ns/op	   0.23 MB/s	        10.00 records/op	   13679 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6495044 ns/op	   0.22 MB/s	        10.00 records/op	   13663 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6508030 ns/op	   0.22 MB/s	        10.00 records/op	   13677 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6161217 ns/op	   0.23 MB/s	        10.00 records/op	   13661 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6654205 ns/op	   0.21 MB/s	        10.00 records/op	   13652 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6162822 ns/op	   0.23 MB/s	        10.00 records/op	   13661 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6131766 ns/op	   0.23 MB/s	        10.00 records/op	   13668 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6410946 ns/op	   0.22 MB/s	        10.00 records/op	   13661 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   7415251 ns/op	   0.19 MB/s	        10.00 records/op	   13651 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   7405269 ns/op	   0.19 MB/s	        10.00 records/op	   13651 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6719684 ns/op	   0.21 MB/s	        10.00 records/op	   13665 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6469808 ns/op	   0.22 MB/s	        10.00 records/op	   13660 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6368891 ns/op	   0.22 MB/s	        10.00 records/op	   13661 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6922747 ns/op	   0.20 MB/s	        10.00 records/op	   13684 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6747239 ns/op	   0.21 MB/s	        10.00 records/op	   13669 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16             	      50	   6856518 ns/op	   0.21 MB/s	        10.00 records/op	   13668 B/op	     163 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    385535 ns/op	  36.57 MB/s	       100.0 records/op	   77830 B/op	     376 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    374168 ns/op	  37.68 MB/s	       100.0 records/op	   76569 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    342314 ns/op	  41.19 MB/s	       100.0 records/op	   72115 B/op	     374 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    349951 ns/op	  40.29 MB/s	       100.0 records/op	   73484 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    311933 ns/op	  45.20 MB/s	       100.0 records/op	   72155 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    362806 ns/op	  38.86 MB/s	       100.0 records/op	   73276 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    401350 ns/op	  35.13 MB/s	       100.0 records/op	   68560 B/op	     374 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    600866 ns/op	  23.47 MB/s	       100.0 records/op	   72259 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    400462 ns/op	  35.21 MB/s	       100.0 records/op	   75895 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    391800 ns/op	  35.99 MB/s	       100.0 records/op	   76144 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    367571 ns/op	  38.36 MB/s	       100.0 records/op	   66018 B/op	     373 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    346421 ns/op	  40.70 MB/s	       100.0 records/op	   76149 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    371676 ns/op	  37.94 MB/s	       100.0 records/op	   73607 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    326361 ns/op	  43.20 MB/s	       100.0 records/op	   75392 B/op	     376 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    328904 ns/op	  42.87 MB/s	       100.0 records/op	   72544 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    342501 ns/op	  41.17 MB/s	       100.0 records/op	   71339 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    323225 ns/op	  43.62 MB/s	       100.0 records/op	   73838 B/op	     375 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16        	      50	    288651 ns/op	  48.85 MB/s	       100.0 records/op	   70765 B/op	     374 allocs/op
