benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6461716 ns/op	   0.22 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6569688 ns/op	   0.21 MB/s	        10.00 records/op	   14334 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6698598 ns/op	   0.21 MB/s	        10.00 records/op	   14346 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   7226493 ns/op	   0.20 MB/s	        10.00 records/op	   17530 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6604023 ns/op	   0.21 MB/s	        10.00 records/op	   17173 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6497392 ns/op	   0.22 MB/s	        10.00 records/op	   17722 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6523728 ns/op	   0.22 MB/s	        10.00 records/op	   17325 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6592432 ns/op	   0.21 MB/s	        10.00 records/op	   17141 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6387568 ns/op	   0.22 MB/s	        10.00 records/op	   17230 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6425508 ns/op	   0.22 MB/s	        10.00 records/op	   17258 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6284486 ns/op	   0.22 MB/s	        10.00 records/op	   17493 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6834099 ns/op	   0.21 MB/s	        10.00 records/op	   17129 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6590210 ns/op	   0.21 MB/s	        10.00 records/op	   17182 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6551502 ns/op	   0.22 MB/s	        10.00 records/op	   17626 B/op	     201 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6396915 ns/op	   0.22 MB/s	        10.00 records/op	   17294 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6460912 ns/op	   0.22 MB/s	        10.00 records/op	   17150 B/op	     199 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6668902 ns/op	   0.21 MB/s	        10.00 records/op	   17556 B/op	     200 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/golib-policy-16       	      50	   6640242 ns/op	   0.21 MB/s	        10.00 records/op	   17402 B/op	     199 allocs/op
