benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    528200 ns/op	   0.29 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	   1581654 ns/op	   0.10 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	   1751588 ns/op	   0.09 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  85026038 ns/op	   0.00 MB/s	         1.000 records/op	    7320 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  92477542 ns/op	   0.00 MB/s	         1.000 records/op	    7880 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  82334629 ns/op	   0.00 MB/s	         1.000 records/op	    7312 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  77956246 ns/op	   0.00 MB/s	         1.000 records/op	    6920 B/op	     102 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	 105761050 ns/op	   0.00 MB/s	         1.000 records/op	    8162 B/op	     121 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	 105851975 ns/op	   0.00 MB/s	         1.000 records/op	    7880 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	 115286825 ns/op	   0.00 MB/s	         1.000 records/op	    7878 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  85198125 ns/op	   0.00 MB/s	         1.000 records/op	    7312 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/sarama-16             	      10	  80106646 ns/op	   0.00 MB/s	         1.000 records/op	    6872 B/op	     101 allocs/op
