goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentReplay/100-records/128B/snappy/sarama-16             1.079k ± 0%
EquivalentReplay/100-records/1024B/none/golib-policy-16        1.492k ± 2%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16        1.258k ± 0%
EquivalentReplay/100-records/1024B/none/kafka-go-16            1.004k ± 8%
EquivalentReplay/100-records/1024B/none/sarama-16              1.076k ± 0%
EquivalentReplay/100-records/1024B/snappy/golib-policy-16      1.494k ± 0%
EquivalentReplay/100-records/1024B/snappy/raw-franz-go-16      1.263k ± 0%
EquivalentReplay/100-records/1024B/snappy/kafka-go-16          1.020k ± 7%
EquivalentReplay/100-records/1024B/snappy/sarama-16            1.080k ± 0%
geomean                                                        1.117k

                                                    │ raw-replay.txt │
                                                    │      MB/s      │
EquivalentReplay/10-records/128B/none/kafka-go-16       0.000 ± 0%
EquivalentReplay/10-records/128B/none/sarama-16         0.000 ± 0%
EquivalentReplay/10-records/128B/snappy/kafka-go-16     0.000 ± 0%
EquivalentReplay/10-records/128B/snappy/sarama-16       0.000 ± 0%
geomean                                                            ¹
¹ summaries must be >0 to compute geomean
