benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2716858 ns/op	         8.000 partitions/op	   47986 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2820212 ns/op	         8.000 partitions/op	   47881 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2858817 ns/op	         8.000 partitions/op	   48089 B/op	     508 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2984004 ns/op	         8.000 partitions/op	   47881 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   1559821 ns/op	         8.000 partitions/op	   48091 B/op	     508 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   4998596 ns/op	         8.000 partitions/op	   47986 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   5221308 ns/op	         8.000 partitions/op	   87002 B/op	     547 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   4801288 ns/op	         8.000 partitions/op	   73983 B/op	     554 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   4819429 ns/op	         8.000 partitions/op	   40363 B/op	     542 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   5243362 ns/op	         8.000 partitions/op	   40368 B/op	     542 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   4970292 ns/op	         8.000 partitions/op	   40925 B/op	     550 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   5171825 ns/op	         8.000 partitions/op	   40296 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	  11764279 ns/op	         8.000 partitions/op	   40576 B/op	     544 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   9314792 ns/op	         8.000 partitions/op	   40326 B/op	     542 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   2932125 ns/op	         8.000 partitions/op	   53563 B/op	     543 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   6267279 ns/op	         8.000 partitions/op	   40323 B/op	     542 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   2805604 ns/op	         8.000 partitions/op	   40909 B/op	     550 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   1819271 ns/op	         8.000 partitions/op	   40235 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   1678188 ns/op	         8.000 partitions/op	   40420 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   2867242 ns/op	         8.000 partitions/op	   40305 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   4249329 ns/op	         8.000 partitions/op	   40320 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   2162412 ns/op	         8.000 partitions/op	   53540 B/op	     543 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   3458017 ns/op	         8.000 partitions/op	   40260 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   2308700 ns/op	         8.000 partitions/op	   40329 B/op	     541 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	  22249571 ns/op	         8.000 partitions/op	   47452 B/op	     550 allocs/op
BenchmarkEquivalentInspection/8-partitions/kafka-go-16             	      10	   5839096 ns/op	         8.000 partitions/op	   60008 B/op	     542 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	  15147308 ns/op	         8.000 partitions/op	   23689 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	  13214779 ns/op	         8.000 partitions/op	   23712 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   5760925 ns/op	         8.000 partitions/op	   23681 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   3121192 ns/op	         8.000 partitions/op	   23683 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   7984388 ns/op	         8.000 partitions/op	   23683 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   6984142 ns/op	         8.000 partitions/op	   23700 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   4741938 ns/op	         8.000 partitions/op	   23684 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   5108988 ns/op	         8.000 partitions/op	   23712 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   4189996 ns/op	         8.000 partitions/op	   23684 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   5354475 ns/op	         8.000 partitions/op	   23704 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	  18272921 ns/op	         8.000 partitions/op	   23707 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   3508367 ns/op	         8.000 partitions/op	   23683 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	  10897942 ns/op	         8.000 partitions/op	   23681 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   5348817 ns/op	         8.000 partitions/op	   23683 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   4810683 ns/op	         8.000 partitions/op	   23683 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   2734592 ns/op	         8.000 partitions/op	   23684 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   2420379 ns/op	         8.000 partitions/op	   23681 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   1441688 ns/op	         8.000 partitions/op	   23680 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   3539250 ns/op	         8.000 partitions/op	   23748 B/op	     312 allocs/op
BenchmarkEquivalentInspection/8-partitions/sarama-16               	      10	   1558562 ns/op	         8.000 partitions/op	   23680 B/op	     312 allocs/op
PASS
ok  	github.com/faustbrian/golib/pkg/kafka/benchmarks/clients	29.847s
