id	version	source	line	object	variant	name	type	pattern	required	description
OAS-3.0.1-F0022	3.0.1	oas/3.0/3.0.1.md	322	Server Object	Fixed Fields	variables	Map[string, Server Variable Object]	false	false	A map between a variable name and its value. The value is used for substitution in the server's URL template.
OAS-3.0.1-F0023	3.0.1	oas/3.0/3.0.1.md	430	Server Variable Object	Fixed Fields	enum	[string]	false	false	An enumeration of string values to be used if the substitution options are from a limited set.
OAS-3.0.1-F0024	3.0.1	oas/3.0/3.0.1.md	431	Server Variable Object	Fixed Fields	default	string	false	true	**REQUIRED**. The default value to use for substitution, and to send, if an alternate value is _not_ supplied. Unlike the [Schema Object's](#schema-object) `default`, this value MUST be provided by the consumer.
OAS-3.0.1-F0025	3.0.1	oas/3.0/3.0.1.md	432	Server Variable Object	Fixed Fields	description	string	false	false	An optional description for the server variable. [CommonMark syntax](http://spec.commonmark.org/) MAY be used for rich text representation.
OAS-3.0.1-F0026	3.0.1	oas/3.0/3.0.1.md	446	Components Object	Fixed Fields	schemas	Map[string, Schema Object | Reference Object]	false	false	An object to hold reusable [Schema Objects](#schema-object).
OAS-3.0.1-F0027	3.0.1	oas/3.0/3.0.1.md	447	Components Object	Fixed Fields	responses	Map[string, Response Object | Reference Object]	false	false	An object to hold reusable [Response Objects](#response-object).
OAS-3.0.1-F0028	3.0.1	oas/3.0/3.0.1.md	448	Components Object	Fixed Fields	parameters	Map[string, Parameter Object | Reference Object]	false	false	An object to hold reusable [Parameter Objects](#parameter-object).
OAS-3.0.1-F0029	3.0.1	oas/3.0/3.0.1.md	449	Components Object	Fixed Fields	examples	Map[string, Example Object | Reference Object]	false	false	An object to hold reusable [Example Objects](#example-object).
OAS-3.0.1-F0030	3.0.1	oas/3.0/3.0.1.md	450	Components Object	Fixed Fields	requestBodies	Map[string, Request Body Object | Reference Object]	false	false	An object to hold reusable [Request Body Objects](#request-body-object).
OAS-3.0.1-F0031	3.0.1	oas/3.0/3.0.1.md	451	Components Object	Fixed Fields	headers	Map[string, Header Object | Reference Object]	false	false	An object to hold reusable [Header Objects](#header-object).
OAS-3.0.1-F0032	3.0.1	oas/3.0/3.0.1.md	452	Components Object	Fixed Fields	securitySchemes	Map[string, Security Scheme Object | Reference Object]	false	false	An object to hold reusable [Security Scheme Objects](#security-scheme-object).
OAS-3.0.1-F0033	3.0.1	oas/3.0/3.0.1.md	453	Components Object	Fixed Fields	links	Map[string, Link Object | Reference Object]	false	false	An object to hold reusable [Link Objects](#link-object).
OAS-3.0.1-F0034	3.0.1	oas/3.0/3.0.1.md	454	Components Object	Fixed Fields	callbacks	Map[string, Callback Object | Reference Object]	false	false	An object to hold reusable [Callback Objects](#callback-object).
