goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/sarama-16                     96.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/golib-policy-16              71.00 ± 0%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/raw-franz-go-16              60.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/sarama-16                    96.00 ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16                           3.000k ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16                           2.617k ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                                 8.442k ± 1%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16                     2.725k ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/raw-franz-go-16                     2.649k ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/sarama-16                           9.211k ± 1%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/golib-policy-16                  2.973k ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/raw-franz-go-16                  2.894k ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/sarama-16                        10.13k ± 1%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/golib-policy-16                  2.970k ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/raw-franz-go-16                  2.897k ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/sarama-16                        10.85k ± 1%
geomean                                                                                    286.9

                                                                         │ raw-authenticated.txt │
                                                                         │    connections/op     │
EquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16                       1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16                       1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                             1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16                 1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/raw-franz-go-16                 1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/sarama-16                       1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/golib-policy-16              1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/raw-franz-go-16              1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/sarama-16                    1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/golib-policy-16              1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/raw-franz-go-16              1.000 ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/sarama-16                    1.000 ± 0%
geomean                                                                               1.000
