goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1168	    102690 ns/op	1122.79 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1161	    102569 ns/op	1124.13 MB/s	  154433 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1202	    103071 ns/op	1118.65 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  332064	       371.0 ns/op	310795.22 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  337536	       367.6 ns/op	313669.48 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  333962	       369.4 ns/op	312151.97 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  325544	       371.8 ns/op	310096.55 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  325327	       370.6 ns/op	311079.21 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  324979	       374.7 ns/op	307749.81 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  322930	       390.6 ns/op	295214.98 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  342804	       399.8 ns/op	288412.26 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  293790	      1100 ns/op	104795.66 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16         	  236601	       711.8 ns/op	161988.40 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1356	     90085 ns/op	1279.91 MB/s	   92524 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1740	     77879 ns/op	1480.51 MB/s	   92478 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1603	     71076 ns/op	1622.20 MB/s	   92485 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1664	     72208 ns/op	1596.78 MB/s	   92463 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1438	     79552 ns/op	1449.37 MB/s	   92463 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1659	     68899 ns/op	1673.46 MB/s	   92469 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1767	     66490 ns/op	1734.08 MB/s	   92469 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1839	     74279 ns/op	1552.25 MB/s	   92472 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1628	     73486 ns/op	1569.00 MB/s	   92458 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                  	    1676	     74907 ns/op	1539.24 MB/s	   92465 B/op	    1145 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     920	    131390 ns/op	 877.54 MB/s	  154901 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     920	    133155 ns/op	 865.91 MB/s	  154887 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     914	    133367 ns/op	 864.53 MB/s	  154885 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     934	    131221 ns/op	 878.67 MB/s	  154884 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     970	    128652 ns/op	 896.22 MB/s	  154884 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     922	    141189 ns/op	 816.64 MB/s	  154889 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     802	    172365 ns/op	 668.93 MB/s	  154892 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     955	    134142 ns/op	 859.54 MB/s	  154891 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     919	    128748 ns/op	 895.55 MB/s	  154885 B/op	    2162 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16         	     963	    127026 ns/op	 907.68 MB/s	  154886 B/op	    2162 allocs/op
PASS
ok  	github.com/faustbrian/golib/pkg/kafka	20.880s

goos: darwin
goarch: arm64
